Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Localización,Fecha UTC,Hora UTC
6/20/2017,23:31:58,3.5,16.45,-94.02,117,"28 km al NOROESTE de ARRIAGA , CHIS",6/21/2017,04:31:58
6/20/2017,22:56:08,3.5,14.72,-92.02,105,"15 km al NORESTE de CD HIDALGO, CHIS",6/21/2017,03:56:08
6/20/2017,22:49:41,3.5,14.81,-92.06,108,"18 km al NORESTE de CD HIDALGO, CHIS",6/21/2017,03:49:41
6/20/2017,22:31:31,4,16.02,-99.1,16,"91 km al SURESTE de SAN MARCOS, GRO",6/21/2017,03:31:31
6/20/2017,21:25:26,3.6,17,-95.53,88,"54 km al NOROESTE de MATIAS ROMERO, OAX",6/21/2017,02:25:26
6/20/2017,21:02:30,3.7,17.7,-95.68,105,"40 km al SUROESTE de ISLA, VER",6/21/2017,02:02:30
6/20/2017,20:16:01,3.7,15.94,-98.45,11,"62 km al SUROESTE de PINOTEPA NACIONAL, OAX",6/21/2017,01:16:01
6/20/2017,20:02:31,3.7,19.38,-105.14,5,"63 km al OESTE de CIHUATLAN, JAL",6/21/2017,01:02:31
6/20/2017,19:58:10,4.1,16.45,-93.52,31,"35 km al SURESTE de CINTALAPA, CHIS",6/21/2017,00:58:10
6/20/2017,19:47:45,3.5,17.03,-94.92,114,"22 km al NORESTE de MATIAS ROMERO, OAX",6/21/2017,00:47:45
6/20/2017,18:37:32,2.9,18.16,-103.43,5,"74 km al SUROESTE de COALCOMAN, MICH",6/20/2017,23:37:32
6/20/2017,18:35:21,3.6,14.68,-92.03,105,"13 km al ESTE de CD HIDALGO, CHIS",6/20/2017,23:35:21
6/20/2017,17:22:34,3.4,16.48,-99.22,16,"39 km al SURESTE de SAN MARCOS, GRO",6/20/2017,22:22:34
6/20/2017,17:02:13,3.5,18.21,-96.24,83,"12 km al OESTE de TRES VALLES, VER",6/20/2017,22:02:13
6/20/2017,15:51:56,3.7,15.09,-97.31,15,"90 km al SUROESTE de PUERTO ESCONDIDO, OAX",6/20/2017,20:51:56
6/20/2017,15:33:55,4.4,13.49,-92.79,14,"148 km al SUROESTE de CD HIDALGO, CHIS",6/20/2017,20:33:55
